VL-4286	942
	19972	0.007
	23718	0.036
	5766	0.007
	24278	0.027
	7796	0.004
	24375	0.007
	1580	0.017
	5808	0.006
	20798	0.007
	14357	0.004
	8635	0.005
	16480	0.004
	21498	0.006
	3404	0.006
	23720	0.007
	23808	0.006
	3781	0.007
	20228	0.003
	10932	0.005
	1666	0.003

VL-5565	2479
	13369	0.003
	21801	0.004
	9717	0.003
	6346	0.002
	16929	0.002
	16570	0.002
	8593	0.002
	5164	0.003
	12952	0.004
	5146	0.002
	31530	0.003
	16758	0.002
	9372	0.002
	10138	0.003
	7000	0.002
	11892	0.002
	4936	0.003
	13093	0.002
	940	0.003
	17365	0.004

VL-11619	719
	21000	0.056
	30140	0.006
	24977	0.003
	13369	0.003
	19832	0.003
	13065	0.004
	1405	0.003
	12952	0.002
	5024	0.002
	6480	0.002
	10196	0.002
	5779	0.003
	12364	0.004
	10138	0.002
	10096	0.003
	29193	0.003
	4294	0.002
	21801	0.003
	31505	0.003
	4587	0.004

VL-18160	319
	19832	0.005
	27707	0.004
	22815	0.003
	9717	0.003
	13065	0.004
	16235	0.004
	7077	0.003
	22267	0.003
	1405	0.004
	25671	0.005
	5779	0.003
	12364	0.006
	21078	0.003
	22827	0.009
	6118	0.004
	2236	0.003
	21801	0.003
	31505	0.006
	30471	0.074
	25930	0.003

VL-37860	1315
	24977	0.006
	1088	0.005
	22407	0.007
	10125	0.005
	25613	0.011
	13260	0.006
	26030	0.005
	16286	0.009
	22307	0.006
	31249	0.010
	28944	0.013
	21078	0.009
	18348	0.004
	25722	0.007
	10196	0.007
	16274	0.008
	32132	0.010
	2492	0.004
	11731	0.006
	25748	0.006

VL-20975	547
	9346	0.006
	23655	0.005
	2968	0.005
	14453	0.007
	31570	0.005
	28032	0.005
	31916	0.005
	939	0.005
	1405	0.005
	10131	0.007
	18616	0.005
	16793	0.004
	26067	0.006
	12364	0.004
	10193	0.005
	4835	0.009
	2236	0.073
	7523	0.004
	19146	0.006
	19832	0.005

VL-21339	917
	27069	0.007
	3679	0.008
	6725	0.035
	32336	0.052
	10125	0.005
	1541	0.006
	17865	0.005
	11467	0.004
	22307	0.004
	28944	0.008
	1465	0.003
	1405	0.003
	10076	0.003
	13862	0.004
	8413	0.003
	9729	0.004
	10196	0.003
	12364	0.004
	31609	0.006
	11731	0.003

VL-6158	266
	19832	0.003
	29238	0.003
	16451	0.003
	5358	0.003
	17412	0.003
	7972	0.005
	13065	0.003
	401	0.003
	1405	0.003
	32569	0.003
	19279	0.003
	5779	0.003
	19101	0.005
	21078	0.003
	12364	0.003
	9390	0.003
	17365	0.003
	31505	0.003
	25819	0.076
	2535	0.002

VL-27292	663
	29314	0.004
	19832	0.005
	29238	0.007
	23611	0.004
	10125	0.005
	13065	0.004
	24869	0.005
	22245	0.004
	31798	0.004
	32569	0.004
	31793	0.004
	19192	0.004
	29308	0.004
	10196	0.005
	31838	0.004
	2492	0.005
	351	0.003
	1666	0.003
	20802	0.059
	19416	0.003

VL-33181	427
	20522	0.003
	19832	0.006
	5838	0.008
	17412	0.003
	22953	0.066
	3843	0.004
	27611	0.004
	1405	0.004
	2175	0.007
	29185	0.008
	12364	0.004
	4936	0.002
	940	0.002
	1364	0.003
	20822	0.010
	6073	0.003
	21819	0.003
	9945	0.002
	28959	0.003
	26160	0.003

VL-14804	761
	18982	0.003
	19832	0.004
	5838	0.003
	29238	0.003
	17412	0.057
	8526	0.003
	13065	0.003
	7120	0.005
	1405	0.004
	31530	0.003
	10509	0.002
	19101	0.004
	7645	0.002
	7648	0.003
	11892	0.002
	10196	0.002
	12364	0.003
	7146	0.002
	6346	0.002
	5422	0.002

VL-18312	1048
	14039	0.004
	21843	0.006
	19832	0.020
	26443	0.004
	24000	0.003
	5358	0.053
	32664	0.026
	19424	0.003
	2175	0.003
	1405	0.003
	31793	0.003
	21456	0.003
	10015	0.004
	6545	0.006
	12364	0.003
	12246	0.016
	24260	0.004
	21557	0.003
	25859	0.008
	1454	0.007

VL-21726	579
	16253	0.006
	14453	0.006
	16235	0.007
	18131	0.004
	7247	0.005
	7732	0.006
	11933	0.012
	6072	0.004
	32307	0.011
	3761	0.059
	30648	0.007
	17501	0.010
	18348	0.013
	10193	0.009
	6357	0.011
	25976	0.005
	1709	0.008
	5838	0.004
	12147	0.059
	19832	0.004

VL-31831	1593
	214	0.004
	211	0.009
	21843	0.008
	7796	0.005
	21490	0.017
	27666	0.005
	7732	0.010
	19424	0.014
	28749	0.006
	6914	0.005
	29185	0.007
	10115	0.020
	10015	0.010
	9902	0.005
	4665	0.003
	3843	0.004
	24725	0.003
	9518	0.004
	25486	0.004
	22257	0.005
